(base) robertselwyn:src on main [!?]$ python3 new_cfr_full_range.py 
0
PRINTING HAND INFORMATION
-------- ITER 0 -------
/Users/robertselwyn/Desktop/Stanford/cs/cs238/final_proj/src/new_cfr_full_range.py:34: RuntimeWarning: divide by zero encountered in double_scalars
  display_results(expected_game_value / a, i_map)
player 1 expected value: inf
player 2 expected value: -inf

3s4s rrb ['0.50', '0.50']
3s4s rrc ['0.50', '0.50']
3s5c rrb ['0.50', '0.50']
3s5c rrc ['0.50', '0.50']
3s5h rrb ['0.50', '0.50']
3s5h rrc ['0.50', '0.50']
3s5s rrb ['0.50', '0.50']
3s5s rrc ['0.50', '0.50']
3s6c rrb ['0.50', '0.50']
3s6c rrc ['0.50', '0.50']
3s6h rrb ['0.50', '0.50']
3s6h rrc ['0.50', '0.50']
3s6s rrb ['0.50', '0.50']
3s6s rrc ['0.50', '0.50']
3s7c rrb ['0.50', '0.50']
3s7c rrc ['0.50', '0.50']
3s7h rrb ['0.50', '0.50']
3s7h rrc ['0.50', '0.50']
3s7s rrb ['0.50', '0.50']
3s7s rrc ['0.50', '0.50']
3s8c rrb ['0.50', '0.50']
3s8c rrc ['0.50', '0.50']
3s8h rrb ['0.50', '0.50']
3s8h rrc ['0.50', '0.50']
3s8s rrb ['0.50', '0.50']
3s8s rrc ['0.50', '0.50']
3s9c rrb ['0.50', '0.50']
3s9c rrc ['0.50', '0.50']
3s9h rrb ['0.50', '0.50']
3s9h rrc ['0.50', '0.50']
3s9s rrb ['0.50', '0.50']
3s9s rrc ['0.50', '0.50']
3sAc rrb ['0.50', '0.50']
3sAc rrc ['0.50', '0.50']
3sAh rrb ['0.50', '0.50']
3sAh rrc ['0.50', '0.50']
3sAs rrb ['0.50', '0.50']
3sAs rrc ['0.50', '0.50']
3sJc rrb ['0.50', '0.50']
3sJc rrc ['0.50', '0.50']
3sJh rrb ['0.50', '0.50']
3sJh rrc ['0.50', '0.50']
3sJs rrb ['0.50', '0.50']
3sJs rrc ['0.50', '0.50']
3sKc rrb ['0.50', '0.50']
3sKc rrc ['0.50', '0.50']
3sKh rrb ['0.50', '0.50']
3sKh rrc ['0.50', '0.50']
3sKs rrb ['0.50', '0.50']
3sKs rrc ['0.50', '0.50']
3sQc rrb ['0.50', '0.50']
3sQc rrc ['0.50', '0.50']
3sQh rrb ['0.50', '0.50']
3sQh rrc ['0.50', '0.50']
3sQs rrb ['0.50', '0.50']
3sQs rrc ['0.50', '0.50']
3sTc rrb ['0.50', '0.50']
3sTc rrc ['0.50', '0.50']
3sTh rrb ['0.50', '0.50']
3sTh rrc ['0.50', '0.50']
3sTs rrb ['0.50', '0.50']
3sTs rrc ['0.50', '0.50']
4c4d rrb ['0.50', '0.50']
4c4d rrc ['0.50', '0.50']
4c5c rrb ['0.50', '0.50']
4c5c rrc ['0.50', '0.50']
4c5h rrb ['0.50', '0.50']
4c5h rrc ['0.50', '0.50']
4c6c rrb ['0.50', '0.50']
4c6c rrc ['0.50', '0.50']
4c6h rrb ['0.50', '0.50']
4c6h rrc ['0.50', '0.50']
4c7c rrb ['0.50', '0.50']
4c7c rrc ['0.50', '0.50']
4c7h rrb ['0.50', '0.50']
4c7h rrc ['0.50', '0.50']
4c8c rrb ['0.50', '0.50']
4c8c rrc ['0.50', '0.50']
4c8h rrb ['0.50', '0.50']
4c8h rrc ['0.50', '0.50']
4c9c rrb ['0.50', '0.50']
4c9c rrc ['0.50', '0.50']
4c9h rrb ['0.50', '0.50']
4c9h rrc ['0.50', '0.50']
4cAc rrb ['0.50', '0.50']
